,filename,province_std,location_std,hdd,houseType,houseSubType,planShape,storeys,decade,vintageExact,murbStoreysInBuilding,murbDwellingCount,murbNonResUnitCount,murbUnitsVisitedCount,agFloorArea,bgFloorArea,nonResUnitFloorArea,commonSpacesFloorArea,totFloorArea,totVolume,highestCeiling,ach,ela,numAdults,numChildren,numInfants,commonSpaceElectricalConsumption,dailyElectricApplianceConsumption,dailyLightingConsumption,dailyOtherElectricityConsumption,dailyExteriorElectricityConsumption,dailyHotWaterLoad,hotWaterSetPoint,dayHeatingSetPoint,nightHeatingSetPoint,coolingSetPoint,setbackDuration,spaceHeatingType,spaceHeatingFuel,spaceHeatingEquipType,spaceHeatingEff,spaceHeatingEffType,spaceHeatingCapacity,spaceHeatingPilotLight,spaceHeatingFlueDiameter,spaceHeatingDualFuel,spaceHeatingDualFuelSwitchTemp,supplHeatingFuel,supplHeatingEquipType,supplHeatingEff,supplHeatingCapacity,supplHeatingPilotLight,supplHeatingFlueDiameter,supplHeatingLocationHeated,supplHeatingAreaHeated,supplHeatingDamperClosed,supplHeatingUsed,coolingEquipType,coolingEff,coolingEffType,coolingCapacity,heatPumpType,heatPumpEquipType,heatPumpMode,heatPumpHeatingEff,heatPumpHeatingEffType,heatPumpCoolingEff,heatPumpCoolingEffType,heatPumpCapacity,coldClimateHeatPump,heatPumpRestrictedTemp,primaryDhwFuel,primaryDhwTankType,primaryDhwTankVolume,primaryDhwEF,primaryDhwIsUEF,primaryDhwPilotLight,primaryDhwFlueDiameter,primaryHasDwhr,secondaryDhwFuel,secondaryDhwTankType,secondaryDhwTankVolume,secondaryDhwEF,secondaryDhwIsUEF,secondaryDhwPilotLight,secondaryDhwFlueDiameter,secondaryHasDwhr,generationPresent,solarPvArraySize,solarPvArrayAngle,solarPvArrayAzimuth,solarPvEff,solarPvNOCT,solarPvTempCoeff,solarPvMiscLosses,solarPvInverterEff,solarPvOtherLosses,solarPvGridAbsorpitionRate,hrvPresent,hrvTotalSupply,hrvTotalReturn,hrvEff1,hrvTemp1,hrvEff2,hrvTemp2,wholeBathroomVentCount,wholeBathroomVentTotalExhaust,wholeRangeVentCount,wholeRangeVentTotalExhaust,wholeUtilityVentCount,wholeUtilityVentTotalSupply,wholeUtilityVentTotalExhaust,supplBathroomVentCount,supplBathroomVentTotalExhaust,supplRangeVentCount,supplRangeVentTotalExhaust,supplUtilityVentCount,supplUtilityVentTotalSupply,supplUtilityVentTotalExhaust,dryerVentCount,dryerVentTotalExhaust,basementConfig,basementPerimeter,basementExpPerimeter,basementFloorArea,basementWallHeight,basementWallDepth,basementIntWallInsAreaFrac,basementExtWallInsAreaFrac,basementPonyWallHeight,basementPonyWallInsAreaFrac,isBasementHeated,basementSeparateThermostat,crawlspaceConfig,crawlspaceVentType,crawlspacePerimeter,crawlspaceExpPerimeter,crawlspaceFloorArea,crawlspaceWallHeight,crawlspaceWallDepth,crawlspaceWallInsAreaFrac,isCrawlspaceHeated,slabConfig,slabPerimeter,slabExpPerimeter,slabArea,ceilingConstType,ceilingLength,ceilingArea,ceilingRoofSlope,ceilingHeelHeight,ceilingFlatLength,ceilingFlatArea,ceilingFlatRoofSlope,ceilingFlatHeelHeight,expFloorArea,expFloorLength,bufferedExpFloorArea,bufferedExpFloorLength,wallArea,wallPerimeter,wallEqHeight,wallCornersTot,wallIntersectionsTot,bufferedWallArea,bufferedWallPerimeter,bufferedWallEqHeight,bufferedWallCornersTot,bufferedWallIntersectionsTot,floorHeaderArea,floorHeaderPerimeter,floorHeaderEqHeight,floorHeaderFoundationArea,floorHeaderFoundationPerimeter,floorHeaderFoundationEqHeight,doorCount,avgDoorWidth,avgDoorHeight,windowCountS,windowAreaS,windowCountSW,windowAreaSW,windowCountW,windowAreaW,windowCountNW,windowAreaNW,windowCountN,windowAreaN,windowCountNE,windowAreaNE,windowCountE,windowAreaE,windowCountSE,windowAreaSE,skylightCount,skylightArea,totWindowArea,glazingRatio,dominantBasementWallType,dominantBasementWallRVal,dominantBasementWallAreaFrac,dominantBasementExtWallType,dominantBasementExtWallRVal,dominantBasementExtWallAreaFrac,dominantFloorsAboveType,dominantFloorsAboveRVal,dominantFloorsAboveAreaFrac,dominantPonyWallType,dominantPonyWallRVal,dominantPonyWallAreaFrac,dominantCrawlspaceWallType,dominantCrawlspaceWallRVal,dominantCrawlspaceWallAreaFrac,dominantSlabType,dominantSlabRVal,dominantSlabAreaFrac,dominantCeilingType,dominantCeilingRVal,dominantCeilingAreaFrac,dominantCeilingFlatType,dominantCeilingFlatRVal,dominantCeilingFlatAreaFrac,dominantExpFloorType,dominantExpFloorRVal,dominantExpFloorAreaFrac,dominantExpFloorBuffType,dominantExpFloorBuffRVal,dominantExpFloorBuffAreaFrac,dominantWallType,dominantWallRVal,dominantWallLintelType,dominantWallAreaFrac,dominantFloorHeaderType,dominantFloorHeaderRVal,dominantFloorHeaderAreaFrac,dominantWindowType,dominantWindowRVal,dominantWindowShgc,dominantWindowAreaFrac,dominantDoorType,dominantDoorRVal,dominantDoorAreaFrac,equivBasementWallRVal,equivExtBasementWallRVal,equivBasementFloorsAboveRVal,equivPonyWallRVal,equivCrawlspaceWallRVal,equivSlabRVal,equivCeilingRVal,equivCeilingFlatRVal,equivExpFloorRVal,equivExpFloorBuffRVal,equivWallRVal,equivFloorHeaderRVal,equivDoorRVal,old_weather_zone,weather_zone,zone_changed,period,selected_for_zone,selected_for_period,selected_for_heating,selected_for_house_type,similarity_rmse,similarity_correlation
1079,ERS-EX-4889.H2K,QUEBEC,QUEBEC INTL,4838.0,House,Single Detached,Rectangular,Two storeys,1970,1972,0.0,0.0,0.0,0.0,11.2,20.0,0.0,0.0,31.2,603.4886,7.3152,6.2313,1530.6244,2,1,0,0.0,6.2997,2.6,9.7,0.9,191.1188,55,21.0,18.0,25.0,8,Baseboards,Electric,Baseboards,100.0,Steady State,22.5,0.0,0.0,False,0.0,Mixed Wood,Wood fireplace insert,30.0,7.0,0.0,127.0,Main Floors,12.0,False,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,272.7654,0.82,False,0.0,0.0,False,,,0.0,0.0,,0.0,0.0,False,False,,,,,,,,,,,True,28.0006,28.0006,55,0,45,-25,0,0.0,0,0.0,0,0.0,0.0,1,33.0,1,75.0,0,0.0,0.0,1,38.0,BCCB_4,36.76,36.7598,83.0553,2.3622,1.4478,1.0,0.0,0.0,0,True,False,,3,0.0,0.0,0.0,0.0,0.0,0,False,,0.0,0.0,0.0,"Attic/gable,Cathedral",28.8036,73.0915,0.3333,0.3048,21.0312,16.7504,0.3333,0.3048,0.0,0.0,0.0,0.0,146.5252289,69.8998,2.0962181422550565,16.0,16.0,0.0,0.0,0.0,0.0,0.0,8.79089164,36.0578,0.2438,8.961819819999999,36.7589,0.2438,3,0.914,2.083,0,0.0,8,11.49739695436,0,0.0,1,1.13806224,0,0.0,8,8.57675704,0,0.0,5,4.2928948686,0,0.0,25.50511110296,12.888457799370878,UserSpecified_1.15,1.1456,1.0,,0.0,0.0,4231000660,0.7058,1.0,,0.0,0.0,,0.0,0.0,Sp??????cifi?????? par l'utilisateur,0.0,1.0,2403302000,3.7566,1.0,2223302000,3.2493,1.0,,0.0,0.0,,0.0,0.0,1201202820,2.20315,100,0.4369713656867728,1800000840,0.9602,0.5048141429095248,200012,0.3390285714285714,0.5811,0.3711076702152268,4.0,0.98,0.6666666666666666,1.1456,0.0,0.7058,0.0,0.0,0.0,3.760285399971585,3.2493,0.0,0.0,2.393578721980345,0.8411106097554283,0.6514772727272726,491.0,6784,True,1960-1980,6784,1960-1980,Baseboards,House,,
1614,ERS-EX-5045.h2k,QUEBEC,QUEBEC INTL,5080.0,Multi-unit: whole building,Detached Duplex,Rectangular,Two storeys,1960,1964,0.0,2.0,0.0,0.0,167.2,75.8,0.0,0.0,243.0,642.0563,6.2484,0.8096,203.6536,4,0,0,0.0,10.3594,3.4,8.8,0.8,251.4259,55,21.0,18.0,25.0,8,Baseboards,Electric,Baseboards,100.0,Steady State,15.0,0.0,0.0,False,0.0,,,0.0,0.0,0.0,0.0,,0.0,False,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,272.7654,0.82,False,0.0,0.0,False,Electricity,Conventional tank,272.7654,0.7965,False,0.0,0.0,False,False,,,,,,,,,,,False,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,2,99.0,2,224.9924,0,0.0,0.0,1,76.0,BCCB_4,35.36,35.3568,75.8089,2.286,1.524,0.0,0.0,0.0,0,True,False,,3,0.0,0.0,0.0,0.0,0.0,0,False,,0.0,0.0,0.0,Attic/hip,39.624,91.4166,0.583,0.3048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.83318272,74.9808,2.4384,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.368064639999998,28.0416,0.4053999999999999,7.11378816,35.3568,0.2012,3,0.864,2.032,4,9.300627047680022,0,0.0,6,4.655474925760011,0,0.0,7,10.931592259200038,0,0.0,4,3.51483174096,0,0.0,0,0.0,30.09542581360007,13.18489104002846,,0.0,0.0,,0.0,0.0,4231000660,0.7058,1.0,,0.0,0.0,,0.0,0.0,Sp??????cifi?????? par l'utilisateur,0.0,1.0,2403c02000,6.4052,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,12113C2010,3.892,100,0.5284552845528455,18000F0910,3.5863,0.6150933438881192,203014,0.3521562499999999,0.57695,0.916045799510354,5.0,1.14,1.0,0.0,0.0,0.7058,0.0,0.0,0.0,6.4052,0.0,0.0,0.0,3.713936606876197,1.592231616962357,1.14,491.0,6784,True,1960-1980,6784,1960-1980,Baseboards,Multi-unit: whole building,,
870,ERS-EX-26982.H2K,QUEBEC,QUEBEC INTL,4838.0,House,Single Detached,Rectangular,One storey,1970,1974,0.0,0.0,0.0,0.0,113.2,113.2,0.0,0.0,226.4,572.0032,3.749,2.3693,461.7181,2,1,0,0.0,6.2997,2.6,9.7,0.9,191.1188,55,21.0,18.0,25.0,8,Boiler,Electric,Electric boiler,100.0,Steady State,20.0,0.0,0.0,False,0.0,,,0.0,0.0,0.0,0.0,,0.0,False,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,246.0999,0.82,False,0.0,0.0,False,,,0.0,0.0,,0.0,0.0,False,False,,,,,,,,,,,False,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,2,66.0,1,75.0,0,0.0,0.0,1,38.0,BCCB_4,43.44,43.434,113.19074136,2.3622,1.2954,1.0,0.0,0.0,0,True,False,,3,0.0,0.0,0.0,0.0,0.0,0,False,,0.0,0.0,0.0,Attic/gable,25.5819,113.1838,0.3333,0.1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.9094656,43.434,2.4384,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.988802,43.434,0.253,3,0.969,2.043,0,0.0,3,1.62386772,0,0.0,6,4.662571845780031,0,0.0,3,5.44902153526001,0,0.0,5,8.537403407760038,0,0.0,20.272864508800083,12.4195369128123,0000G2,1.1133,1.0,,0.0,0.0,4231000660,0.7059,1.0,,0.0,0.0,,0.0,0.0,Sp??????cifi?????? par l'utilisateur,0.0,1.0,2403552000,6.0796,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1201201141,2.2841,100,0.7,1800200140,2.7877,1.0,210014,0.4623555555555556,0.3885777777777778,0.8072749088149805,5.0,1.14,0.4167776961989505,1.1133,0.0,0.7059,0.0,0.0,0.0,6.079600000000001,0.0,0.0,0.0,2.272350649753435,2.7877,0.5262681457965664,491.0,6784,True,1960-1980,6784,1960-1980,Boiler,House,0.21956243999801295,0.9720971222688761
1640,ERS-EX-5302.h2k,QUEBEC,QUEBEC INTL,5080.0,Multi-unit: whole building,Detached Duplex,Rectangular,One storey,1970,1970,0.0,2.0,0.0,0.0,93.1,111.4,0.0,0.0,204.5,498.603,4.2672,4.103,801.4673,4,0,0,0.0,10.3594,3.4,8.8,0.8,251.4259,55,21.0,18.0,25.0,8,Boiler,Electric,Electric boiler,100.0,Steady State,15.5,0.0,0.0,False,0.0,Electric,Baseboard/Hydronic/Plenum(duct) htrs,30.0,2.0,0.0,0.0,Main Floors,12.0,False,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,180.9344,0.82,False,0.0,0.0,False,Electricity,Conventional tank,178.2067,0.8251,False,0.0,0.0,False,False,,,,,,,,,,,False,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,1,33.0,1,74.9924,0,0.0,0.0,1,76.0,BCCB_4,36.58,36.576,67.6334,2.4384,1.1186,1.0,0.0,0.3719,0,True,False,,3,0.0,0.0,0.0,0.0,0.0,0,False,,0.0,0.0,0.0,Attic/hip,41.4528,93.0888,0.333,0.3048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.07850752,41.4528,2.4384,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.46466176,41.4528,0.2042,0.0,0.0,0.0,4,0.965,2.083,0,0.0,8,11.80191188,0,0.0,1,1.08193332,0,0.0,6,7.2515984000000016,0,0.0,4,5.106441908,0,0.0,25.241885508000003,15.994485771277422,2100H1,0.6925,1.0,,0.0,0.0,4231000660,0.7058,1.0,12010C1940,1.6854,1.0,,0.0,0.0,Sp??????cifi?????? par l'utilisateur,0.0,1.0,2X4 LS 14``,7.419,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1201201940,2.4215,100,0.8088235294117647,1800000940,0.9866,0.8088235294117646,200014,0.34065,0.60099,0.8321277989056316,4.0,0.98,1.0,0.6925,0.0,0.7058,1.6854000000000002,0.0,0.0,7.419,0.0,0.0,0.0,2.3685307920962884,0.937152182223523,0.98,491.0,6784,True,1960-1980,6784,1960-1980,Boiler,Multi-unit: whole building,,
1264,ERS-EX-5280.H2K,QUEBEC,QUEBEC INTL,4838.0,House,Double/Semi-detached,Rectangular,Two storeys,1960,1965,0.0,0.0,0.0,0.0,92.9,40.6,0.0,0.0,133.5,334.8213,5.9436,4.931,607.4268,2,1,0,0.0,6.1203,2.6,9.7,0.9,187.8831,55,21.0,18.0,25.0,8,Furnace,Electric,Electric furnace,100.0,Steady State,9.5,0.0,0.0,False,0.0,,,0.0,0.0,0.0,0.0,,0.0,False,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,279.1299,0.82,False,0.0,0.0,False,,,0.0,0.0,,0.0,0.0,False,False,,,,,,,,,,,False,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,2,66.0,1,74.9924,0,0.0,0.0,1,38.0,BCCB_4,25.61,18.5928,40.5986,2.2616,1.9812,1.0,0.0,0.0,0,True,False,,3,0.0,0.0,0.0,0.0,0.0,0,False,,0.0,0.0,0.0,Attic/gable,20.1168,48.3096,0.167,0.2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.56635648,19.5072,2.4384,4.0,0.0,48.01075488000001,20.1168,2.3866,4.0,0.0,0.0,0.0,0.0,8.0912208,39.624,0.2042,2,0.825,1.867,3,6.32514912768,0,0.0,0,0.0,0,0.0,7,5.68385967874,0,0.0,2,1.17806233526001,0,0.0,0,0.0,13.861263341680008,22.771539330756248,210071,1.322,1.0,,0.0,0.0,4231000660,0.7055,1.0,,0.0,0.0,,0.0,0.0,Sp??????cifi?????? par l'utilisateur,0.0,1.0,2203cE1000,7.5667,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1201201900,2.0869,100,0.5023248160238184,1800020900,1.73,0.5076923076923077,200014,0.3407333333333333,0.6016,0.6362035237045951,4.0,0.98,1.0,1.322,0.0,0.7055,0.0,0.0,0.0,7.5667,0.0,0.0,0.0,2.237251791015513,1.8754118266242803,0.98,491.0,6784,True,1960-1980,6784,1960-1980,Furnace,House,,
1577,ERS-EX-27013.h2k,QUEBEC,QUEBEC INTL,5080.0,Multi-unit: whole building,Detached Duplex,"Other, 9-10 corners",Two storeys,1970,1970,0.0,2.0,0.0,0.0,417.1,84.9,0.0,0.0,502.0,1402.0667,5.6388,3.7499,2059.7854,4,0,0,0.0,10.3594,3.4,8.8,0.8,251.4315,55,21.0,18.0,25.0,8,Furnace,Oil,Furnace w/ flame ret. head,83.0,Steady State,38.0,0.0,127.0,False,0.0,Mixed Wood,Advanced airtight wood stove,30.0,2.0,0.0,127.0,Main Floors,12.0,False,Never,Central split system,10.0,COP,11.9054,,,,,COP,,,,,,Electricity,Conventional tank,246.0999,0.82,False,0.0,0.0,False,Electricity,Conventional tank,151.4,0.8332,False,0.0,0.0,False,False,,,,,,,,,,,False,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,1,66.0,1,150.0,0,0.0,0.0,1,76.0,BCCB_4,49.08,42.3672,84.9227,2.286,1.8288,1.0,0.0,0.0,0,True,False,,3,0.0,0.0,0.0,0.0,0.0,0,False,SCB_30,51.97,45.8724,168.6190176,Attic/gable,60.19799999999999,337.238,0.3333,0.1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.3139088,150.114,2.8266111675126906,14.0,14.0,0.0,0.0,0.0,0.0,0.0,9.87344736,49.0728,0.2012,23.204424000000003,100.8888,0.23,5,0.838,2.054,1,7.033534319999999,8,17.83609491448,0,0.0,12,20.5741545996401,0,0.0,4,2.910947468416,0,0.0,11,16.281888686855996,0,0.0,67.0250327893921,14.05838212609804,000091,0.7368,1.0,,0.0,0.0,4231000660,0.7058,1.0,,0.0,0.0,,0.0,0.0,76 mm EPS II (3 po),2.1052,0.6650543318714189,2203c01000,6.087,0.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,1201206141,2.3845,100,0.4479693356684046,1800200120,2.5758,0.7015089860969821,200012,0.3385909090909091,0.5764909090909089,0.4928386218287408,5.0,1.14,1.0,0.7367999999999999,0.0,0.7058,0.0,0.0,0.029576630850468,6.0140869500162095,0.0,0.0,0.0,2.26567303137771,2.4187899119914293,1.14,491.0,6784,True,1960-1980,6784,1960-1980,Furnace,Multi-unit: whole building,,
1558,ERS-EX-26711.h2k,QUEBEC,MONT JOLI,5370.0,House,Mobile Home,Rectangular,One storey,2000,2008,0.0,0.0,0.0,0.0,67.6,0.0,0.0,0.0,67.6,164.838,3.048,3.7998,236.4768,2,1,0,0.0,6.2997,2.6,9.7,0.9,191.8008,55,21.0,18.0,25.0,8,Baseboards,Electric,Baseboards,100.0,Steady State,6.5,0.0,0.0,False,0.0,,,0.0,0.0,0.0,0.0,,0.0,False,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,151.3998,0.822,False,0.0,0.0,False,,,0.0,0.0,,0.0,0.0,False,False,,,,,,,,,,,False,0.0,0.0,0,0,0,0,0,0.0,0,0.0,1,23.5974,23.5974,1,1.1799,1,3.5396,0,0.0,0.0,1,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,,3,0.0,0.0,0.0,0.0,0.0,0,False,,0.0,0.0,0.0,Attic/gable,34.3967,67.5963,0.3333,0.3048,0.0,0.0,0.0,0.0,67.5963,14.9352,0.0,0.0,94.9098432,38.923,2.4384,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.864,2.057,4,2.95999429336,0,0.0,4,2.98580057652,0,0.0,1,2.818059078120001,0,0.0,1,1.4245134019200003,0,0.0,0,0.0,10.188367349920002,10.734784724541615,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2403b02000,7.2764,1.0,,0.0,0.0,3231L06120,5.1283,1.0,,0.0,0.0,1211302120,3.2087,101,1.0,,0.0,0.0,200014,0.3350428571428571,0.5325285714285715,0.592451880118692,5.0,1.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.276400000000001,0.0,5.1283,0.0,3.2087,0.0,1.14,491.0,6784,True,post1980,6784,post1980,Baseboards,House,,
1631,ERS-EX-5125.h2k,QUEBEC,QUEBEC INTL,5080.0,Multi-unit: whole building,Detached Duplex,L-shape,Two storeys,2000,2003,0.0,2.0,0.0,0.0,117.6,58.8,0.0,0.0,176.39999999999998,466.0387,6.4008,1.4619,266.9135,4,0,0,0.0,10.3594,3.4,8.8,0.8,251.4315,55,21.0,18.0,25.0,8,Baseboards,Electric,Baseboards,100.0,Steady State,7.0,0.0,0.0,False,0.0,,,0.0,0.0,0.0,0.0,,0.0,False,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,279.1299,0.7945,False,0.0,0.0,False,Electricity,Conventional tank,180.9344,0.8242,False,0.0,0.0,False,False,,,,,,,,,,,True,44.0,44.0,55,0,45,-25,0,0.0,0,0.0,0,0.0,0.0,1,66.0,1,150.0,1,0.0,50.0,1,76.0,BCCB_4,31.09,31.0896,58.8076,2.4384,1.524,1.0,0.0,0.0,0,True,True,,3,0.0,0.0,0.0,0.0,0.0,0,False,,0.0,0.0,0.0,Attic/gable,13.4112,58.8076,0.333,0.3048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.61776128000002,62.1792,2.4384,12.0,2.0,0.0,0.0,0.0,0.0,0.0,18.952220160000003,62.1792,0.3048,0.0,0.0,0.0,2,0.864,2.057,0,0.0,3,1.96644768,0,0.0,4,6.645148000000001,0,0.0,2,1.95096411432,0,0.0,3,7.566436566359981,0,0.0,18.12899636067998,9.110125712941915,0000N2,2.0154,1.0,,0.0,0.0,4200000000,0.4683,1.0,,0.0,0.0,,0.0,0.0,Sp??????cifi?????? par l'utilisateur,0.8806,1.0,2403D02000,9.0585,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1211Y02920,3.332,100,1.0,1800Y00920,3.7643,1.0,213214,0.5576,0.3787333333333333,0.4493950088527912,4.0,0.98,1.0,2.0154,0.0,0.4683,0.0,0.0,0.8806,9.0585,0.0,0.0,0.0,3.332,3.7643,0.98,491.0,6784,True,post1980,6784,post1980,Baseboards,Multi-unit: whole building,,
905,ERS-EX-27049.H2K,QUEBEC,QUEBEC INTL,4838.0,House,Single Detached,"Other, 7-8 corners",Two storeys,2010,2015,0.0,0.0,0.0,0.0,85.4,0.0,0.0,0.0,85.4,478.3369,5.4864,3.611,623.9086,2,1,0,0.0,6.2997,2.6,9.7,0.9,191.1146,55,21.0,18.0,25.0,8,Boiler,Electric,Electric boiler,100.0,Steady State,12.5,0.0,0.0,False,0.0,Mixed Wood,Wood fireplace insert,30.0,2.0,0.0,127.0,Main Floors,12.0,False,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,246.0999,0.82,False,0.0,0.0,False,,,0.0,0.0,,0.0,0.0,False,False,,,,,,,,,,,True,27.9865,27.9865,64,0,64,-25,0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,75.0,0,0.0,0.0,1,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,True,,3,0.0,0.0,0.0,0.0,0.0,0,False,SCB_29,39.33,39.3201,85.3779,"Attic/gable,Cathedral",25.6824,99.8708,0.3333,0.3048,5.6205,31.587,0.3333,0.3048,0.0,0.0,39.4838,7.62,192.94035072000003,79.6138,2.423453606284338,8.0,0.0,20.66153856,8.4734,2.4384,4.0,0.0,9.043416,39.3192,0.23,0.0,0.0,0.0,2,0.889,1.956,0,0.0,5,33.637748232097024,0,0.0,4,4.45934640768,0,0.0,9,10.510301387280002,0,0.0,2,1.86773853528002,0,0.0,51.333197362337046,25.41451632273879,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,64 mm XTPS IV (2.5 po),2.2208,1.0,2403542000,5.8384,1.0,2243542000,5.2653,1.0,,0.0,0.0,3231504720,4.9328,1.0,12113B2211,4.1606000000000005,101,0.9032708061260832,1800100520,1.9669,1.0,314025,0.6522,0.40975,0.6331563049614256,5.0,1.14,1.0,0.0,0.0,0.0,0.0,0.0,2.2208,5.8384,5.2653,0.0,4.9328,4.144564337214062,1.9669000000000003,1.14,491.0,6784,True,post1980,6784,post1980,Boiler,House,,
910,ERS-EX-27061.H2K,QUEBEC,QUEBEC INTL,4838.0,House,Single Detached,Rectangular,Two storeys,1990,1993,0.0,0.0,0.0,0.0,94.2,93.2,0.0,0.0,187.4,662.1047,5.6388,5.3817,1268.6544,2,1,0,0.0,6.2997,2.6,9.7,0.9,191.1188,55,21.0,18.0,25.0,8,Furnace,Oil,Furnace w/ flame ret. head,83.0,Steady State,22.0,0.0,127.0,False,0.0,Mixed Wood,Wood furnace,30.0,2.0,0.0,127.0,Main Floors,12.0,False,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,302.7998,0.82,False,0.0,0.0,False,,,0.0,0.0,,0.0,0.0,False,False,,,,,,,,,,,False,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,38.0,BCCB_4,39.33,39.3201,93.1817,2.347,1.7374000000000005,0.5,0.0,0.0,0,True,False,,3,0.0,0.0,0.0,0.0,0.0,0,False,,0.0,0.0,0.0,"Attic/gable,Cathedral",23.4086,49.9818,0.3333,0.1311,6.8092,46.3586,0.3333,0.0,0.1858,7.3152,0.0,0.0,140.21689894,73.03,1.919990400383404,10.0,8.0,14.8644864,6.096,2.4384,4.0,4.0,9.0580464,39.624,0.2286,8.98836912,39.3192,0.2285999999999999,3,1.25,1.987,10,18.84577147526012,0,0.0,1,0.8379854208000002,0,0.0,7,9.684497049559978,0,0.0,2,1.4245134019200003,0,0.0,0,0.0,30.7927673475401,16.897484610208974,UserSpecified_0.1,0.0999,1.0,,0.0,0.0,4231000660,0.7059,1.0,,0.0,0.0,,0.0,0.0,User specified,0.0,1.0,2403541000,5.3873,1.0,2231301000,3.2095,1.0,3231306620,3.9924,1.0,,0.0,0.0,1201201941,2.381,100,0.5271727165756307,1800100520,1.9669,0.5019305019305019,214204,0.552775,0.39205,0.5052890727719241,5.0,1.14,0.7219696451238936,0.0999,0.0,0.7058999999999999,0.0,0.0,0.0,5.3873,3.2095,3.9924,0.0,2.2120265532184007,1.315749827965845,0.7221571770647498,491.0,6784,True,post1980,6784,post1980,Furnace,House,,
